cluster,det,type
7,15,ct
2,1,ct
7,17,ct
4,0,ct
1,0,ct
7,3,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
5,6,ct
7,17,ct
5,17,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
5,16,ct
2,0,ct
5,5,ct
5,4,ct
5,2,ct
7,17,ct
7,10,ct
7,17,ct
6,0,ct
5,3,ct
5,13,ct
5,16,ct
5,17,ct
5,17,ct
8,17,ct
7,17,ct
2,0,ct
2,0,ct
6,17,ct
7,17,ct
5,13,ct
5,2,ct
7,14,ct
5,17,ct
6,0,ct
6,0,ct
1,0,ct
5,2,ct
2,2,ct
2,0,ct
6,0,ct
2,0,ct
5,12,ct
6,0,ct
5,11,ct
7,17,ct
7,11,ct
1,0,ct
6,0,ct
1,0,ct
2,0,ct
5,1,ct
5,17,ct
2,0,ct
3,9,ct
6,0,ct
2,0,ct
5,0,ct
7,17,ct
7,16,ct
8,4,ct
8,12,ct
1,12,ct
2,0,ct
7,17,ct
2,0,ct
8,12,ct
8,5,ct
6,0,ct
6,0,ct
4,2,ct
2,2,ct
7,17,ct
7,16,ct
7,17,ct
7,17,ct
2,0,ct
3,10,ct
3,2,ct
6,0,ct
6,0,ct
6,4,ct
2,3,ct
5,7,ct
5,10,ct
5,0,ct
3,0,ct
7,0,ct
1,0,ct
2,1,ct
2,0,ct
5,17,ct
5,17,ct
3,10,ct
7,0,ct
3,2,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
3,0,ct
6,0,ct
5,7,ct
2,0,ct
5,5,ct
2,0,ct
2,0,ct
2,0,ct
2,0,ct
7,17,ct
2,0,ct
3,4,ct
2,0,ct
1,0,ct
5,17,ct
2,0,ct
2,0,ct
7,17,ct
3,8,ct
2,0,ct
3,2,ct
7,17,ct
6,0,ct
1,0,ct
7,17,ct
6,0,ct
3,5,ct
2,0,ct
4,0,ct
4,0,ct
4,0,ct
3,0,ct
3,0,ct
7,17,ct
7,9,ct
8,4,ct
3,3,ct
5,0,ct
6,7,ct
3,0,ct
3,0,ct
6,0,ct
3,0,ct
7,16,ct
1,10,ct
8,15,ct
7,17,ct
7,17,ct
8,10,ct
2,0,ct
2,0,ct
7,0,ct
5,7,ct
5,14,ct
5,12,ct
4,0,ct
6,0,ct
4,0,ct
8,5,ct
7,15,ct
4,0,ct
1,0,ct
6,0,ct
3,0,ct
7,17,ct
8,16,ct
3,0,ct
8,4,ct
8,17,ct
3,0,ct
3,0,ct
5,7,ct
4,0,ct
7,17,pe
2,6,pe
7,18,pe
4,9,pe
1,6,pe
7,15,pe
2,6,pe
2,8,pe
2,6,pe
2,6,pe
5,15,pe
7,18,pe
5,18,pe
2,6,pe
2,6,pe
2,6,pe
2,12,pe
5,17,pe
2,6,pe
5,13,pe
5,16,pe
5,14,pe
7,18,pe
7,13,pe
7,18,pe
6,13,pe
5,14,pe
5,17,pe
5,16,pe
5,18,pe
5,18,pe
8,17,pe
7,18,pe
2,14,pe
2,9,pe
6,17,pe
7,18,pe
5,17,pe
5,8,pe
7,17,pe
5,18,pe
6,11,pe
6,7,pe
1,5,pe
5,15,pe
2,14,pe
2,6,pe
6,14,pe
2,6,pe
5,17,pe
6,10,pe
5,18,pe
7,18,pe
7,17,pe
1,10,pe
6,7,pe
1,5,pe
2,6,pe
5,14,pe
5,18,pe
2,6,pe
3,14,pe
6,11,pe
2,6,pe
5,14,pe
7,18,pe
7,18,pe
8,0,pe
8,3,pe
1,16,pe
2,6,pe
7,18,pe
2,11,pe
8,4,pe
8,0,pe
6,12,pe
6,5,pe
4,8,pe
2,9,pe
7,18,pe
7,17,pe
7,18,pe
7,18,pe
2,6,pe
3,15,pe
3,11,pe
6,11,pe
6,14,pe
6,11,pe
2,10,pe
5,14,pe
5,16,pe
5,12,pe
3,5,pe
7,8,pe
1,7,pe
2,10,pe
2,10,pe
5,18,pe
5,18,pe
3,15,pe
7,9,pe
3,9,pe
2,6,pe
2,6,pe
2,6,pe
2,14,pe
2,11,pe
2,11,pe
2,10,pe
3,5,pe
6,8,pe
5,16,pe
2,9,pe
5,14,pe
2,6,pe
2,6,pe
2,5,pe
2,6,pe
7,18,pe
2,6,pe
3,11,pe
2,6,pe
1,7,pe
5,18,pe
2,10,pe
2,6,pe
7,18,pe
3,12,pe
2,6,pe
3,9,pe
7,17,pe
6,8,pe
1,6,pe
7,18,pe
6,8,pe
3,11,pe
2,10,pe
4,9,pe
4,10,pe
4,5,pe
3,9,pe
3,9,pe
7,18,pe
7,15,pe
8,0,pe
3,10,pe
5,14,pe
6,13,pe
3,8,pe
3,9,pe
6,8,pe
3,6,pe
7,18,pe
1,15,pe
8,7,pe
7,17,pe
7,18,pe
8,6,pe
2,14,pe
2,11,pe
7,9,pe
5,14,pe
5,17,pe
5,16,pe
4,9,pe
6,14,pe
4,9,pe
8,0,pe
7,18,pe
4,9,pe
1,5,pe
6,5,pe
3,6,pe
7,18,pe
8,8,pe
3,8,pe
8,0,pe
8,17,pe
3,7,pe
3,8,pe
5,17,pe
4,9,pe
